0	 516096
1	 1
2	 2793468
3	 3006459
4	 90118
5	 2318343
6	 90120
7	 90122
8	 548875
9	 737293
10	 2056207
11	 90130
12	 1753107
13	 974868
14	 1155093
15	 2187286
16	 90135
17	 90137
18	 1196062
19	 1720350
20	 2670624
21	 1237025
22	 2105389
23	 90159
24	 2596913
25	 1753140
26	 1007669
27	 1695803
28	 1237052
29	 1335357
30	 1212478
31	 90175
32	 1187902
33	 1949755
34	 1671234
35	 1859651
36	 90180
37	 90174
38	 90177
39	 1859658
40	 1359947
41	 1261644
42	 852044
43	 90188
44	 90192
45	 1507410
46	 1040467
47	 90198
48	 1859671
49	 2711640
50	 1572953
51	 90205
52	 950367
53	 90211
54	 1638503
55	 1392744
56	 1146985
57	 1073258
58	 90219
59	 2031726
60	 90224
61	 999538
62	 1245299
63	 680054
64	 1458295
65	 90232
66	 90236
67	 1319039
68	 90245
69	 991369
70	 1753227
71	 90252
72	 90253
73	 1425551
74	 1089680
75	 1425557
76	 1056918
77	 1171606
78	 1613973
79	 90262
80	 90266
81	 704667
82	 1204378
83	 1900699
84	 1220766
85	 2367640
86	 90268
87	 1679522
88	 2048162
89	 1138854
90	 221351
91	 90280
92	 90281
93	 1777831
94	 2261162
95	 2130094
96	 491696
97	 737458
98	 1982643
99	 557234
100	 2179253
101	 1499318
102	 90295
103	 1671353
104	 1278142
105	 745674
106	 90315
107	 90316
108	 1654991
109	 90320
110	 884946
111	 1138901
112	 2212053
113	 90329
114	 360669
115	 1802466
116	 590054
117	 1851624
118	 1843433
119	 458986
120	 90346
121	 2081002
122	 2105579
123	 590062
124	 2826473
125	 90352
126	 2130161
127	 1655027
128	 188663
129	 90361
130	 2556153
131	 917755
132	 295165
133	 1327363
134	 90372
135	 90374
136	 2826504
137	 2236681
138	 2818313
139	 90380
140	 1458445
141	 2203918
142	 90385
143	 2294033
144	 2539795
145	 90398
146	 2040094
147	 524580
148	 2228518
149	 1851687
150	 1229098
151	 2761003
152	 90412
153	 1229107
154	 1007923
155	 2924854
156	 90427
157	 1433918
158	 835904
159	 90435
160	 2875718
161	 1335624
162	 90440
163	 1737032
164	 1605962
165	 1892680
166	 835918
167	 90448
168	 1843537
169	 1679698
170	 90451
171	 1081683
172	 1204572
173	 1237350
174	 90470
175	 1827174
176	 1139049
177	 1589609
178	 991595
179	 2105704
180	 2154860
181	 90480
182	 2031985
183	 1204594
184	 2113908
185	 1368438
186	 90491
187	 917883
188	 1843583
189	 90496
190	 90497
191	 549250
192	 2982272
193	 2154885
194	 90503
195	 90507
196	 90508
197	 90510
198	 2728336
199	 2359697
200	 1606034
201	 2490769
202	 2720145
203	 90517
204	 2793872
205	 90519
206	 90521
207	 90525
208	 90526
209	 90532
210	 197034
211	 90539
212	 90542
213	 1163715
214	 926148
215	 1327558
216	 90567
217	 852427
218	 90572
219	 1712587
220	 90575
221	 278998
222	 90583
223	 1655258
224	 90588
225	 90589
226	 90590
227	 90594
228	 1335778
229	 1335780
230	 90597
231	 131558
232	 2064873
233	 1778154
234	 2269675
235	 2474474
236	 1868270
237	 90607
238	 2261492
239	 90612
240	 115190
241	 2818551
242	 90616
243	 90618
244	 1180155
245	 90620
246	 2040316
247	 1016320
248	 2097664
249	 2269699
250	 90628
251	 2351621
252	 1393159
253	 1999367
254	 2310665
255	 549387
256	 1327627
257	 1327629
258	 1991181
259	 2499086
260	 1688083
261	 188948
262	 770582
263	 90647
264	 2302487
265	 1245724
266	 1933853
267	 90656
268	 2335269
269	 90664
270	 2040360
271	 1810987
272	 1270318
273	 1139247
274	 1139250
275	 1499698
276	 2064947
277	 1327670
278	 1073725
279	 1524288
280	 2040385
281	 1524293
282	 2368072
283	 1679948
284	 2802254
285	 852559
286	 90706
287	 1786450
288	 2081371
289	 2171484
290	 1565280
291	 1720929
292	 1598050
293	 2040419
294	 90721
295	 1245801
296	 2998894
297	 1335920
298	 90738
299	 295540
300	 2474612
301	 90752
302	 762502
303	 90759
